Countries,Year,Male_count,Female_count,Total Population,Domestic Revenue (In Billions),International revenue (In Billions),Total Revenue (In Billions),International Arrivals,Literacy,Crime Rate,Currency,Curr_$,Salary/Hour
Argentina,2017,21472290,22572521,44044811,142.2,501.4,643.6,6711000,93.52,5.27,ARS,16.56,3.6
Argentina,2018,21696699,22797803,44494502,132.1,392.7,524.8,6942000,94.23,5.38,ARS,28.09,3.74
Argentina,2019,21918496,23020216,44938712,140.2,312.6,452.8,7399000,93.96,5.14,ARS,48.14,3.27
Argentina,2020,22137442,23239321,45376763,110,279.6,389.6,6215217,94.56,5.01,ARS,70.53,3.8
Argentina,2021,22353608,23455139,45808747,139.8,351.7,491.5,2106095,94.47,5.09,ARS,94.99,3.79
Argentina,2022,21897631,23612687,45510318,140,365.6,505.7,5876366,94.86,5.18,ARS,155.47,3.93
Australia,2010,11017892,11013858,22031750,267.1,880.5,1147.6,5790000,94.97,1.04,AUD,1.09,11.6
Australia,2011,11167269,11172755,22340024,288.3,1109.6,1397.9,5771000,95.38,1.1,AUD,0.96,11.7
Australia,2012,11355294,11378171,22733465,316.6,1229.9,1546.5,6032000,95.57,1.06,AUD,0.96,11.8
Australia,2013,11541758,11586371,23128129,337.3,1239,1576.3,6482000,95.25,1.05,AUD,1.03,11.9
Australia,2014,11705167,11770519,23475686,350.2,1117.3,1467.5,6922000,96.34,1.03,AUD,1.1,11.9
Australia,2015,11867302,11948693,23815995,355.2,995.3,1350.5,7449000,97.45,0.99,AUD,1.33,12.1
Australia,2016,12049619,12141288,24190907,369.3,837.4,1206.7,8269000,83.45,0.94,AUD,1.34,12.2
Australia,2017,12252228,12349632,24601860,388.6,938.3,1326.9,8815000,83.48,0.85,AUD,1.3,12.3
Australia,2018,12441473,12541215,24982688,427.4,1001.1,1428.5,9246000,83.57,0.89,AUD,1.33,12.5
Australia,2019,12632259,12733486,25365745,455.8,936.2,1392,9466000,85.16,0.89,AUD,1.43,12.7
Australia,2020,12794929,12898338,25693267,447.6,880.2,1327.8,1828000,85.39,0.87,AUD,1.45,12.9
Australia,2021,12816822,12922434,25739256,515.3,1027.4,1542.7,2018581,86.46,0.84,AUD,1.33,12.8
Australia,2022,13134215,13043198,26177413,528.4,1170.8,1699.1,2793836,87.45,0.89,AUD,1.56,12.9
Austria,2010,407596,4287444,8363404,74.8,317.5,392.3,22004000,87.69,0.69,EUR,0.75,12.5
Austria,2011,4092609,4299034,8391643,78.9,352.8,431.7,23012000,87.49,0.89,EUR,0.71,13.35
Austria,2012,4114435,4315556,8429991,82.6,326.8,409.4,24151000,87.65,0.93,EUR,0.78,13.95
Austria,2013,4142296,4337527,8479823,85.6,344.6,430.2,24813000,87.59,0.72,EUR,0.75,14.45
Austria,2014,4178984,4367372,8546356,88,354.6,442.6,25291000,90.34,0.52,EUR,0.75,14.72
Austria,2015,4231048,4411651,8642699,92.4,289.6,382,26728000,91.49,0.53,EUR,0.9,15.15
Austria,2016,4282881,4453787,8736668,90.9,304.9,395.8,28121000,82.21,0.62,EUR,0.9,15.15
Austria,2017,4319226,4478340,8797566,93.9,323.4,417.3,29460000,82.25,0.79,EUR,0.88,16.05
Austria,2018,4346935,4493586,8840521,97.9,357.2,455.2,30816000,82.34,0.97,EUR,0.84,16.5
Austria,2019,4372358,4507562,8879920,101.6,343.4,445,31884000,83.25,0.86,EUR,0.98,16.8
Austria,2020,4395554,4521310,8916864,92.2,341.1,433.3,15091000,83.15,0.72,EUR,0.87,17.3
Austria,2021,4418785,4537494,8956279,98.9,378.2,477.1,19183874,84.87,0.74,EUR,0.84,17.79
Austria,2022,4418428,4521189,8939617,108.9,393.2,502.1,24657846,85,0.75,EUR,1,15.7
Belgium,2010,5350771,5544815,10895586,88.9,392.6,481.4,7186000,86.59,1.17,EUR,1.35,11.8
Belgium,2011,5420651,5617613,11038264,93.8,429.6,523.3,7494000,87.39,1.19,EUR,1.3,11.7
Belgium,2012,5453743,5653189,11106932,99.7,396.4,496.2,7560000,87.95,1.25,EUR,1.32,11.6
Belgium,2013,5479418,5679989,11159407,102.9,418.9,521.8,7684000,88.94,1.28,EUR,1.38,11.8
Belgium,2014,5505521,5703536,11209057,105.3,430.1,535.4,7887000,89.38,1.34,EUR,1.22,11.8
Belgium,2015,5541882,5732314,11274196,101.5,360.8,462.3,8355000,99.8,1.31,EUR,1.09,11.7
Belgium,2016,5577477,5753945,11331422,98.2,377.8,476.1,7481000,99.8,1.33,EUR,1.05,11.6
Belgium,2017,5609017,5766141,11375158,104.4,398.4,502.8,8385000,99.8,1.29,EUR,1.02,11.6
Belgium,2018,5645728,5781326,11427054,110.5,432.9,543.3,9119000,99.8,1.31,EUR,1.06,11.5
Belgium,2019,5686560,5802420,11488980,108.3,427.1,535.4,9343000,99.8,1.28,EUR,1.11,11.5
Belgium,2020,5721845,5822396,11544241,101,420.7,521.7,2584000,99.8,1.22,EUR,1.04,11.6
Belgium,2021,5748604,5839278,11587882,162.8,437,599.9,4172981,99.8,1.19,EUR,0.98,11.5
Belgium,2022,5814626,5841304,11655930,166.3,443.6,609.9,4943784,99.71,1.23,EUR,1.01,11.6
Bangladesh,2010,75015692,72559741,147575433,115.3,509.6,624.8,139000,99.71,2.7,BDT,69.64,1.5
Bangladesh,2011,75809694,73463440,149273134,128.6,666.8,795.5,157000,90.3,2.66,BDT,74.15,1.5
Bangladesh,2012,76643893,74361840,151005733,133.4,818.9,952.3,160000,90.45,2.72,BDT,81.86,1.6
Bangladesh,2013,77504601,75256812,152761413,150,924.5,1074.5,104000,91.24,2.88,BDT,78.1,1.6
Bangladesh,2014,78368220,76149165,154517385,172.9,987.4,1160.3,134000,93.89,2.92,BDT,77.64,1.7
Bangladesh,2015,79217157,77039130,156256287,195.1,1093.1,1288.2,126000,94.48,2.58,BDT,77.94,1.7
Bangladesh,2016,80048910,77928241,157977151,265.2,1253.6,1518.9,182000,94. 46,2.27,BDT,78.46,1.69
Bangladesh,2017,80869068,78816353,159685421,293.8,1332.6,1626.4,237000,95.79,2.22,BDT,80.43,1.68
Bangladesh,2018,81677117,79699596,161376713,321.4,1719.2,2040.6,267000,95.48,2.37,BDT,83.46,1.58
Bangladesh,2019,82473791,80572382,163046173,351.2,1903.3,2254.5,323000,96.14,2.47,BDT,84.45,2.36
Bangladesh,2020,83259108,81430275,164689383,373.9,1845.9,2219.8,142182,97.67,2.52,BDT,84.87,2.38
Bangladesh,2021,84031706,82271788,166303494,396.5,1798.7,2195.1,196291,97.36,2.59,BDT,85.08,2.35
Bangladesh,2022,87537879,83648493,171186372,416.3,1721.5,2137.8,185893,98.57,2.63,BDT,101.36,1.97
Bulgaria,2010,3601310,3794289,7395599,13.4,37.3,50.7,8374000,98.61,1.99,BGN,1.48,4.26
Bulgaria,2011,3578030,3770298,7348328,14.5,43.2,57.7,8713000,98.73,1.73,BGN,1.4,4.76
Bulgaria,2012,3556675,3749213,7305888,15.2,39.1,54.3,8867000,98.12,1.92,BGN,1.52,4.59
Bulgaria,2013,3535805,3729310,7265115,16.2,39.6,55.8,9192000,98.1,1.5,BGN,1.47,5.26
Bulgaria,2014,3514595,3709343,7223938,16.5,40.6,57.1,9409000,99.2,1.55,BGN,1.47,5.76
Bulgaria,2015,3491057,3686934,7177991,18,32.8,50.8,9317000,99.65,1.75,BGN,1.76,5.32
Bulgaria,2016,3465478,3662344,7127822,19.4,34.6,54,10604000,99.97,1.1,BGN,1.76,5.94
Bulgaria,2017,3439061,3636886,7075947,21.1,38.1,59.2,11596000,98.97,1.45,BGN,1.73,6.62
Bulgaria,2018,3413178,3611859,7025037,21.9,44.5,66.4,12368000,98.7,1.3,BGN,1.65,7.69
Bulgaria,2019,3388224,3587537,6975761,24.6,44.3,68.9,12552000,98.87,1.19,BGN,1.74,8.01
Bulgaria,2020,3367114,3566901,6934015,24.4,45.5,69.9,4973000,98.68,0.99,BGN,1.71,8.88
Bulgaria,2021,3349563,3549562,6899125,24.8,55.4,80.3,5614835,99.66,1.08,BGN,1.65,9.82
Bulgaria,2022,3314071,3514072,6828143,28.9,60.6,89.5,8472503,99.71,1.14,BGN,1.98,9.72
Bahrain,2010,774051,466813,1240864,0.8,25.2,25.7,11952000,99.85,0.16,BHD,0.37,4.95
Bahrain,2011,796037,482116,1278153,0.8,28.3,28.8,6732000,96.29,0.7,BHD,0.37,4.98
Bahrain,2012,806030,493912,1299942,0.8,30.2,30.7,8062000,97.24,0.54,BHD,0.37,4.95
Bahrain,2013,811369,503660,1315029,0.8,31.9,32.5,9163000,97.83,0.53,BHD,0.37,4.96
Bahrain,2014,822540,513533,1336073,0.8,32.8,33.4,10452000,95.8,0.6,BHD,0.37,4.96
Bahrain,2015,846756,525097,1371853,0.8,30.5,31.1,9670000,96.35,0.58,BHD,0.37,4.97
Bahrain,2016,886938,538855,1425793,0.8,31.6,32.2,10158000,96.79,0.7,BHD,0.37,4.98
Bahrain,2017,939850,554227,1494077,0.8,34.7,35.5,11374000,97.26,0.33,BHD,0.37,5
Bahrain,2018,998976,570464,1569440,0.8,37,37.8,12045000,96.11,0.38,BHD,0.37,5
Bahrain,2019,1054797,586367,1641164,1.5,37.2,38.7,11061000,96.27,0.12,BHD,0.37,5.05
Bahrain,2020,1100474,601109,1701583,1.3,33.4,34.7,1909000,96.83,0.19,BHD,0.37,5.09
Bahrain,2021,1133875,614420,1748295,1.4,37.4,38.9,3145261,97.18,0.24,BHD,0.37,5.15
Bahrain,2022,1083198,755927,1839125,1.5,39.3,40.8,3932914,97.59,0.29,BHD,0.38,5.21
Bahamas,2010,172007,182929,354936,1.1,9,10.1,5255000,98.13,26.48,BSD,1,4.33
Bahamas,2011,174271,185312,359583,1.3,8.8,10.1,5588000,69.25,35.32,BSD,1,4.35
Bahamas,2012,176254,187327,363581,1.3,9.4,10.7,5940000,66.5,30.53,BSD,1,4.52
Bahamas,2013,178056,189106,367162,1.2,9.3,10.6,6151000,67.75,32.41,BSD,1,4.68
Bahamas,2014,179810,190815,370625,1.3,9.9,11.2,6320000,68,33.46,BSD,1,4.8
Bahamas,2015,181608,192592,374200,1.5,10.4,11.9,6112000,71,39.02,BSD,1,5
Bahamas,2016,183477,194446,377923,1.7,10.2,11.8,6265000,71,29.37,BSD,1,5.09
Bahamas,2017,185384,196365,381749,1.8,10.5,12.4,6136000,86,31.96,BSD,1,5.25
Bahamas,2018,187322,198313,385635,1.8,10.9,12.8,6622000,73.5,23.6,BSD,1,5.34
Bahamas,2019,189230,200256,389486,2.2,11,13.2,7250000,98.8,24.39,BSD,1,5.45
Bahamas,2020,191093,202155,393248,1.9,7.8,9.7,1794500,85.75,18.56,BSD,1,5.51
Bahamas,2021,192917,203997,396914,2.1,9.1,11.2,1988901,86.68,21.22,BSD,1,5.59
Bahamas,2022,197007,204948,401955,2.2,11.3,13.6,2235380,99.61,28.91,BSD,1,5.68
Bolivia,2010,5056110,4992487,10048597,1.9,17.7,19.6,679000,98.84,1.18,BOB,7.01,4.25
Bolivia,2011,5137926,5075025,10212951,2,22,24,711000,99.73,1.19,BOB,6.93,5.09
Bolivia,2012,5219814,5157863,10377677,2.3,24.8,27.1,798000,99.25,1.23,BOB,6.91,6.25
Bolivia,2013,5301540,5240835,10542375,2.6,28.1,30.7,798000,99.75,1.31,BOB,6.91,7.5
Bolivia,2014,5382819,5323698,10706517,2.8,30.2,33,871000,99.69,1.29,BOB,6.91,5.11
Bolivia,2015,5463444,5406288,10869732,3,30,33,882000,99.69,1.33,BOB,6.91,5.11
Bolivia,2016,5543317,5488505,11031822,3,30.9,33.9,961000,99.69,1.35,BOB,6.91,5.12
Bolivia,2017,5622487,5570366,11192853,3.1,34.4,37.5,1109000,87.45,1.39,BOB,6.91,5.13
Bolivia,2018,5701161,5651979,11353140,3.4,36.9,40.3,1142000,87.69,1.42,BOB,6.91,5.13
Bolivia,2019,5779611,5733491,11513102,3.5,37.4,40.9,1239000,87.49,1.36,BOB,6.91,5.14
Bolivia,2020,5858019,5815010,11673029,3.2,33.4,36.6,523299,87.65,1.22,BOB,6.91,5.15
Bolivia,2021,5936423,5896513,11832936,3.4,37,40.4,651244,87.59,1.25,BOB,6.91,5.15
Bolivia,2022,5966553,6088869,12055422,3.6,37.6,41.3,723428,90.34,1.28,BOB,6.73,5.16
Brazil,2010,96536269,99177368,195713637,553.7,1655.1,2208.8,5161000,91.49,26.7,BRL,1.75,1.9
Brazil,2011,97385186,100129355,197514541,649.9,1966.2,2616.2,5433000,82.21,26.43,BRL,1.67,1.9
Brazil,2012,98220331,101066961,199287292,690.1,1775.2,2465.2,5677000,82.25,28.27,BRL,1.95,2.1
Brazil,2013,99043431,101992473,201035904,753.1,1719.7,2472.8,5813000,82.34,28.26,BRL,2.15,2.2
Brazil,2014,99855752,102907992,202763744,779.6,1676.5,2456,6430000,83.25,29.43,BRL,2.35,2.2
Brazil,2015,100657516,103814243,204471759,817.2,985,1802.2,6306000,83.15,28.43,BRL,3.32,2.2
Brazil,2016,101450192,104712864,206163056,859.6,936.1,1795.7,6547000,84.87,29.66,BRL,3.49,2.2
Brazil,2017,102232088,105601737,207833825,896,1167.5,2063.5,6589000,85,30.67,BRL,3.19,2.3
Brazil,2018,102996239,106473081,209469320,976.4,940.5,1916.9,6621000,86.59,26.69,BRL,3.65,2.2
Brazil,2019,103733160,107316359,211049519,1015.1,858.2,1873.3,6353000,87.39,20.86,BRL,3.94,2.3
Brazil,2020,104435783,108123626,212559409,967.9,480.7,1448.6,3962876,87.95,20.64,BRL,5.15,2.3
Brazil,2021,105101516,108891925,213993441,978.5,630.5,1609,4735210,88.94,20.81,BRL,5.39,2.2
Brazil,2022,106389312,108924186,215313498,998.7,835.3,1834,5966189,89.38,20.88,BRL,5.04,2.3
Canada,2010,16871021,17133868,34004889,195.5,1421.9,1617.3,25621000,66.75,1.63,CAD,1.03,8.6
Canada,2011,17035831,17303497,34339328,209.4,1583.9,1793.3,25066000,67.08,1.75,CAD,0.98,8.6
Canada,2012,17219264,17494958,34714222,213.1,1615.2,1828.4,25318000,69.43,1.57,CAD,0.99,8.8
Canada,2013,17399107,17683847,35082954,221.1,1625.5,1846.6,25167000,72.38,1.44,CAD,1.03,8.8
Canada,2014,17572607,17864828,35437435,235.6,1570.2,1805.7,25558000,75.59,1.46,CAD,1.1,8.9
Canada,2015,17703599,17999309,35702908,246.6,1309.9,1556.5,27555000,75.69,1.69,CAD,1.27,9
Canada,2016,17906490,18202997,36109487,253.1,1274.9,1528,30142000,75.78,1.68,CAD,1.32,9.2
Canada,2017,18125501,18419735,36545236,270,1379.3,1649.3,31081000,73.64,1.8,CAD,1.29,9.3
Canada,2018,18387421,18677663,37065084,291.9,1433.4,1725.3,31274000,73.75,1.76,CAD,1.29,10.3
Canada,2019,18657912,18943318,37601230,295.1,1447,1742,32430000,73.89,1.84,CAD,1.32,10.5
Canada,2020,18878616,19158588,38037204,293.4,1352,1645.4,21350000,74.32,1.97,CAD,1.34,10.7
Canada,2021,18986363,19259745,38246108,305.4,1685.4,1990.8,23670000,74.57,2.02,CAD,1.25,10.6
Canada,2022,19031251,19497291,38528542,318.7,1903.7,2222.5,25980000,74.89,2.15,CAD,1.35,10.8
Switzerland,2010,3852990,3971919,7824909,58.5,545,603.4,8628000,70.56,0.67,CHF,1.04,13.1
Switzerland,2011,3900689,4011709,7912398,59.3,662.8,722,8534000,71.28,0.58,CHF,0.88,13.67
Switzerland,2012,3946780,4050081,7996861,59,633.1,692.1,8566000,71.57,0.56,CHF,0.93,14.25
Switzerland,2013,3996588,4092758,8089346,60.6,652.2,712.7,8967000,72.74,0.7,CHF,0.92,14.9
Switzerland,2014,4049415,4139234,8188649,60.5,673.9,734.4,9158000,72.94,0.74,CHF,0.91,15.7
Switzerland,2015,4099073,4183323,8282396,63.8,638.3,702.1,9305000,73.67,0.65,CHF,0.96,14.5
Switzerland,2016,4146846,4226492,8373338,63.7,631.9,695.6,10402000,74.89,1.12,CHF,0.98,13.9
Switzerland,2017,4187971,4263869,8451840,68.9,635.6,704.5,11133000,75.47,1.25,CHF,0.98,13.9
Switzerland,2018,4220798,4293531,8514329,68.8,666.8,735.5,11715000,75.47,1.17,CHF,0.97,14.1
Switzerland,2019,4252686,4322594,8575280,71,660.7,731.8,11818000,92.55,1.18,CHF,0.99,13.75
Switzerland,2020,4284690,4351871,8636561,65.1,687.2,752.2,8342000,95.9,1.21,CHF,0.93,13.5
Switzerland,2021,4316627,4381096,8697723,68.2,744.6,812.9,10274000,97.89,1.23,CHF,0.91,13.35
Switzerland,2022,4339940,4461742,8801682,70.2,771.8,842,12682000,97.2,1.27,CHF,1,13.27
Chile,2010,8397001,8665530,17062531,408.6,1078.6,1487.2,3584000,96.49,3.17,CLP,510.25,5.35
Chile,2011,8481053,8752531,17233584,503.2,1048.3,1551.5,3963000,96.27,3.69,CLP,483.67,6.03
Chile,2012,8562870,8837489,17400359,552.4,979.8,1532.2,4397000,96.52,2.49,CLP,486.47,6.42
Chile,2013,8647028,8924483,17571511,587.5,982.9,1570.4,4457000,96.87,3.16,CLP,495.27,6.7
Chile,2014,8739824,9019145,17758969,622.9,1052.8,1675.7,4601000,96.63,2.47,CLP,570.35,5.9
Chile,2015,8844800,9124556,17969356,645.9,1073.6,1719.6,5487000,96.4,2.56,CLP,654.12,5.82
Chile,2016,8965258,9243814,18209072,680.9,1142.3,1823.3,6712000,96.49,2.96,CLP,676.96,6.47
Chile,2017,9097252,9373183,18470435,783.7,1046.7,1830.4,7621000,96.61,2.38,CLP,648.83,7.08
Chile,2018,9228416,9500750,18729166,832.2,1062.6,1894.8,6603000,96.58,1.69,CLP,641.28,7.44
Chile,2019,9341774,9610261,18952035,837.8,1142.1,1979.9,5431000,96.65,2.47,CLP,702.9,7.08
Chile,2020,9425669,9690540,19116209,820,1056.7,1876.7,2315000,96.69,1.75,CLP,792.73,6.56
Chile,2021,9475340,9737022,19212362,831.3,1102.7,1934.1,2723000,96.64,1.78,CLP,758.96,7.33
Chile,2022,9731205,9872528,19603733,842.6,1126.5,1969.1,3247000,96.66,1.82,CLP,941.8,8
China,2010,687429252,650275748,1337705000,1217.1,5015.1,6232.2,133762,96.8,0.98,CNY,6.77,1.7
China,2011,691172304,653862696,1345035000,1521.2,5337.2,6858.5,5423000,97.5,0.87,CNY,6.46,1.75
China,2012,695813520,658376480,1354190000,1647.2,5531.4,7178.6,6405000,98.2,0.82,CNY,6.31,1.87
China,2013,700367049,662872951,1363240000,1787.2,5604.9,7392.1,6078000,98.11,0.76,CNY,6.19,2.05
China,2014,704675333,667184667,1371860000,1959.4,5902,7861.4,6499000,98.23,0.72,CNY,6.14,2.15
China,2015,708647978,671212022,1379860000,2142.5,5905,8047.5,6820000,98.71,0.65,CNY,6.22,2.25
China,2016,712569385,675220615,1387790000,2249.3,6035.2,8284.5,7174000,98.92,1.12,CNY,6.64,2.2
China,2017,716728147,679486853,1396215000,2476.4,5984,8460.3,7620000,99.45,1.25,CNY,6.75,2.3
China,2018,719905214,682854786,1402760000,2695.4,6054.1,8749.5,8606000,99.51,1.17,CNY,6.61,2.35
China,2019,722264717,685480283,1407745000,2758.6,6223.6,8982.2,8938000,99.34,1.18,CNY,6.9,2.55
China,2020,723771010,687328990,1411100000,2852.7,6303.8,9156.5,7602000,99.65,1.23,CNY,6.9,3.1
China,2021,724187545,688172455,1412360000,2931.7,6524.6,9456.3,7869184,99.54,1.28,CNY,6.44,3.25
China,2022,756792934,695457578,1452250512,3195.8,6597.6,9793.5,8760591,99.23,1.34,CNY,7.18,3.52
Colombia,2010,22159658,23063041,45222699,286.6,6545.7,989.2,1701000,91.22,34.18,COP,1898.56,2.4
Colombia,2011,22374122,23288625,45662747,334.9,8708.5,1043.5,2356000,92.55,35.32,COP,1848.13,2.4
Colombia,2012,22575015,23500706,46075721,370.9,7787.5,1158.5,2434000,95.9,30.53,COP,1796.89,2.4
Colombia,2013,22780030,23715462,46495492,382.1,748.1,1130.2,2595000,97.89,32.41,COP,1868.78,2.5
Colombia,2014,23013034,23954672,46967706,381.1,816,1197.1,2866000,97.2,33.46,COP,2001.78,2.5
Colombia,2015,23288781,24231886,47520667,293.5,977.7,1271.1,3371000,96.8,39.02,COP,2741.88,2.5
Colombia,2016,23618154,24556894,48175048,282.8,960.1,1242.9,3675000,97.5,29.37,COP,3054.12,2.5
Colombia,2017,23990081,24919763,48909844,311.9,1055,1366.9,4056000,98.2,31.96,COP,2951.32,2.6
Colombia,2018,24370780,25290276,49661056,334.2,1115.3,1449.5,4397000,98.11,23.6,COP,2955.7,2.6
Colombia,2019,24713193,25626250,50339443,323.1,1276,1599.1,4531000,98.23,24.39,COP,3280.83,2.7
Colombia,2020,24984564,25898320,50882884,270.3,1150.6,1420.9,1396000,98.71,18.56,COP,3694.85,2.8
Colombia,2021,25171408,26094433,51265841,314.3,1169.2,1483.5,2098261,98.92,18.89,COP,3743.58,2.8
Colombia,2022,22591800,29441361,52033161,351.3,1161.2,1512.4,2979164,99.45,19.23,COP,4974.21,2.9
Costa Rica,2010,2292775,2284596,4577371,37.7,527.2,564.9,2495000,99.51,11.51,CRC,525.82,3.3
Costa Rica,2011,2320217,2312869,4633086,42.8,813.5,856.2,2526000,99.34,10.23,CRC,505.66,3.4
Costa Rica,2012,2347235,2340768,4688003,47.2,865.8,913,2542000,99.65,8.68,CRC,502.9,3.4
Costa Rica,2013,2373809,2368302,4742111,50.9,747.8,798.8,2641000,99.54,8.67,CRC,499.76,3.4
Costa Rica,2014,2399916,2395474,4795390,52,600.9,652.9,2760000,99.23,9.95,CRC,538.31,3.4
Costa Rica,2015,2425530,2422275,4847805,56.4,942.5,999,2899000,99.8,11.49,CRC,534.56,3.6
Costa Rica,2016,2450639,2448697,4899336,58.8,272.2,331.1,3204000,99.57,11.8,CRC,544.73,3.7
Costa Rica,2017,2475235,2474720,4949955,60.5,488,548.5,3231000,99.47,12.18,CRC,567.51,3.7
Costa Rica,2018,2499229,2500214,4999443,62.4,685.1,747.5,3313000,99.24,11.26,CRC,576.97,3.7
Costa Rica,2019,2522539,2525022,5047561,64.4,795.3,859.8,3366000,99.32,11.15,CRC,587.29,3.7
Costa Rica,2020,2545076,2549038,5094114,62.2,618.3,680.4,1146500,99.55,11.19,CRC,584.9,3.8
Costa Rica,2021,2566834,2572219,5139053,64.3,650.1,714.4,1837845,99.21,11.56,CRC,620.78,4.3
Costa Rica,2022,2656871,2577234,5234105,65.3,690.7,756,2453167,99.89,12.01,CRC,609.77,4.5
Germany,2010,40084439,41692491,81776930,287,3112.7,3399.7,26875000,73.64,0.98,EUR,88.81,10.34
Germany,2011,39371978,40903005,80274983,309.3,3440.1,3749.3,28374000,73.75,0.87,EUR,84.53,11.37
Germany,2012,39469223,40956600,80425823,319.1,3208.1,3527.1,30411000,73.89,0.82,EUR,86.12,12.97
Germany,2013,39601642,41043963,80645605,326.4,3407.4,3733.8,31545000,74.32,0.76,EUR,87.92,12.86
Germany,2014,39795381,41187119,80982500,336.1,3552.9,3889.1,32999000,74.57,0.72,EUR,98.18,13.78
Germany,2015,40175001,41511610,81686611,347.4,3010.2,3357.6,34970000,74.89,0.65,EUR,101.5,13.84
Germany,2016,40540539,41808130,82348669,354.1,3115.7,3469.9,35555000,70.56,1.12,EUR,103.41,14.28
Germany,2017,40737032,41919970,82657002,373.1,3317.8,3690.8,37452000,71.28,1.25,EUR,101.3,14.84
Germany,2018,40905408,42000374,82905782,385.6,3591.6,3977.3,38881000,71.57,1.17,EUR,101.99,15.29
Germany,2019,41039660,42053302,83092962,396.3,3492,3888.3,39563000,72.74,1.18,EUR,106.45,15.5
Germany,2020,41107914,42052957,83160871,359.2,3487.2,3846.4,12449000,72.94,1.19,EUR,109.64,15.57
Germany,2021,41118695,42010590,83129285,381.9,3841.2,4223.1,10242000,73.67,1.2,EUR,114.44,16.38
Germany,2022,41074844,42681814,83369843,409.4,3847.2,4256.5,10253000,74.89,0.93,EUR,4184.92,16.51
